Site/ Sol Id*	Bank Name	Pin code 	City*	State	Branch*	Address	Amc Start date*	UPS Cap	Qty	Amc Expiry Date
7271	Citibank	122106	Rewari	Haryana	Punjab	Hero Honda Motors Ltd 69th K M stone Delhi-Jaipur Highway  Dharuhera Rewari Haryana	01-04-2022			31-03-2023
P3ENBW07	HDFC Bank	301019	Bhiwadi	Rajasthan	Rajasthan	Khasara No 556/10/2/5 Village Khan Pur  Chock Near Krish Vatika & Ashiyana Gardan Rajsthan  301019	01-04-2022			31-03-2023
DCB04402	DCB Bank	396 210	Daman	DAMAN AND DIU	Gujarat	Rose Park  Shop no 5 Opp Daman Industrial Estate Daman 396 210	01-04-2022			31-03-2023
7211	Citibank	 122 002	Gurgaon	Haryana	Delhi	SG 24 DLF Galleria DLF Phase IV Gurgaon 122 002	01-04-2022			31-03-2023
7831	Citibank	 560 072	Bangalore	Karnataka	Karnataka	Convergys India Services Pvt Ltd - 55 Divya Sree Towers Banerghatta Main Road Bangalore - 560 072 	01-04-2022			31-03-2023
7835	Citibank	560 093	Bangalore	Karnataka	Karnataka	Texas Instruments India PvtLtd No66/1 Bagmane Tech Park adj to LRDE Byrasandra CVRaman Nagar Bangalore - 560 093	01-04-2022			31-03-2023
7901	Citibank	560034	Bangalore	Karnataka	Karnataka	Room No 38 ATM Room Lobby Intel Software Pvt Ltd Outer Ring Road Dewara Besanesalli Marthali Banglore - 560034	01-04-2022			31-03-2023
P3ENVI09	HDFC Bank	444805	Paratwada	Maharashtra	Maharashtra	Bhumapan No 23 10 Shit No 23 Plot No 10 opp bus stand Paratwada 444805	01-04-2022			31-03-2023
P3ENVI08	HDFC Bank	444805	Paratwada	Maharashtra	Maharashtra	Malmataa No 7000465 Shit No 20B Plot No 91 Paratwada 444805	01-04-2022			31-03-2023
7836	Citibank	560 066	Bangalore	Karnataka	Karnataka	SAP Labs India PvtLtd 138 Export Promotional Industrial Park Whitefield Bangalore - 560 066	01-04-2022			31-03-2023
7783	Citibank	400064	Mumbai	Maharashtra	Maharashtra	3G globalMindspace  Malad west	01-04-2022			31-03-2023
7545	Citibank	500 081	Hyderabad	Telangana	Andhra Pradesh	Convergys India Services PvtLtd Phase-1 NrHP Petrol Pump Hi-Tech City Hyderabad - 500 081	01-04-2022			31-03-2023
7868	Citibank	 560 068	Bangalore	Karnataka	Karnataka	Building-213/85 Marathalli Main road  Bangalore 560 068	01-04-2022			31-03-2023
P3ENKK02	HDFC Bank	700107	Kolkata	West Bengal	West Bengal	Fortis Healthcare Limited 730 Anandapur Kolkata - 700107	01-04-2022			31-03-2023
DEU0504	Deutsche	560100	Bangalore	Karnataka	Karnataka	B8 Velankani Tech Park Hosur Road  Address Velankani Tech Park 43 Electronic City Phase 2 Hosur Road Bangalore - 560100	01-04-2022			31-03-2023
7953	Citibank	122 050	Gurgaon	Haryana	Delhi	Denso Haryana PvtLtd Plot No3 Sector 3 IMT Manesar Gurgaon 122 050	01-04-2022			31-03-2023
7237	Citibank	122002	Gurgaon	Haryana	Delhi	"Dell International Vipul Tech Square Sector 43 Sector Road Opp Central Park Gurgaon – 122002
"	01-04-2022			31-03-2023
7544	Citibank	 500 019	Hyderabad	Telangana	Andhra Pradesh	Polaris Software Lab Ltd Survey No203/ Part Manikonda Jagir Village Rajendra Nagar Mandal Hyderabad 500 019	01-04-2022			31-03-2023
P3EWHD05	HDFC Bank	531011	Atchutapuram	Andhra Pradesh	Andhra Pradesh	Seeds Intimate Apparel India Private Ltd  Brandix India Apparel City Plot 11  APSEZ Pudimadaka Road  Atchutapuram  531011	01-04-2022			31-03-2023
7550	Citibank	500084	Hyderabad	Telangana	Andhra Pradesh	Google India Pvt Ltd Divyashree OmegaSurvey No13/EPlot No13/EKondapurSerilingamcally MandalHyderabad -82 Andhra Pradesh	01-04-2022			31-03-2023
P3ENSO07	HDFC Bank	173205	Solan	Himachal Pradesh 	Punjab	Opp Vishal Mega Mart Adj Axis ATM  Sai Road Baddi Distt  Solan HP 173205	01-04-2022			31-03-2023
