Ammi usna cream,,,,,,,15G,Pj188,pack,31/08/2013,6
alfalfa tonic,,,,,,,115ml,hl130063,pack,31/08/2013,3
avena sativa,,,,,,m.t.,200ml,um120188,pack,31/08/2013,4
belladona,,,,,,30,8ml,1140944,pack,31/08/2013,12
bryonia alba,,,,,,30,8ml,1140945,pack,31/08/2013,9
Bryonia alba,,,,,,M.T.,20ml,Mt379,pack,31/08/2013,9
BIO-COMBINATION 4 CONSTIPATION,,,,,,,25G,TJO848,PACK,31/08/2013,36
Dulcamara,,,,,,200,10ml,BD09141,pack,31/08/2013,8
denton syrup,,,,,,,115ml,hl120205,pack,31/08/2013,17
denton  syrup,,,,,,,115ml,hl120205,pack,31/08/2013,17
Ferrumsip syrup,,,,,,,60ml,ul130052,pack,31/08/2013,6
Hypericum perforatum,,,,,,1x,20g,1240840,pack,,4
Liv T SBL's LIVER TONIC,,,,,,,60ML,HL130199,PACK,31/08/2013,6
nux vomika,,,,,,30,8ml,1219578,pack,31/08/2013,6
psoralea corylifolia,,,,,,MT,200ml,um120713,pack,31/08/2013,3
Rauvolfia sertpentina,,,,,,1x,15g,1237906,pack,,5
Relaxhed drops,,,,,,,30ml,hl120203,pack,31/08/2013,2
Relaxhed drops,,,,,,,30ml,hl120204,pack,31/08/2013,1
Relaxhed drops,,,,,,,30ml,hl120205,pack,31/08/2013,1
Relaxhed drops,,,,,,,30ml,hl120206,pack,31/08/2013,1
Relaxhed drops,,,,,,,30ml,hl120207,pack,31/08/2013,1
Relaxhed drops,,,,,,,30ml,hl120208,pack,31/08/2013,1
Relaxhed drops,,,,,,,30ml,hl120209,pack,31/08/2013,1
Relaxhed drops,,,,,,,30ml,hl120210,pack,31/08/2013,1
Relaxhed drops,,,,,,,30ml,hl120211,pack,31/08/2013,2
Relaxhed drops,,,,,,,30ml,hl120212,pack,31/08/2013,1
syzigium jamb,,,,,,m.t.,100 ml,1206850,in use,,5
